monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.311323103Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_status - v1" duration=284.54µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.312688192Z level=info msg="Executing migration" id="Rename table temp_user to temp_user_tmp_qwerty - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.314067257Z level=info msg="Migration successfully executed" id="Rename table temp_user to temp_user_tmp_qwerty - v1" duration=1.378726ms
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.315447696Z level=info msg="Executing migration" id="create temp_user v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.315842854Z level=info msg="Migration successfully executed" id="create temp_user v2" duration=395.208µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.317219412Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.317527891Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v2" duration=308.439µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.318855737Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.319173495Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v2" duration=313.15µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.320484101Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.320770585Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v2" duration=286.322µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.32213401Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.32242058Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v2" duration=286.402µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.323688555Z level=info msg="Executing migration" id="copy temp_user v1 to v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.323858883Z level=info msg="Migration successfully executed" id="copy temp_user v1 to v2" duration=170.301µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.325143227Z level=info msg="Executing migration" id="drop temp_user_tmp_qwerty"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.325377504Z level=info msg="Migration successfully executed" id="drop temp_user_tmp_qwerty" duration=234.169µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.326713424Z level=info msg="Executing migration" id="Set created for temp users that will otherwise prematurely expire"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.326878902Z level=info msg="Migration successfully executed" id="Set created for temp users that will otherwise prematurely expire" duration=165.433µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.328202721Z level=info msg="Executing migration" id="create star table"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.328474103Z level=info msg="Migration successfully executed" id="create star table" duration=274.125µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.32973944Z level=info msg="Executing migration" id="add unique index star.user_id_dashboard_id"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.330052644Z level=info msg="Migration successfully executed" id="add unique index star.user_id_dashboard_id" duration=316.171µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.33141517Z level=info msg="Executing migration" id="Add column dashboard_uid in star"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.33203033Z level=info msg="Migration successfully executed" id="Add column dashboard_uid in star" duration=615.081µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.333398833Z level=info msg="Executing migration" id="Add column org_id in star"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.334049687Z level=info msg="Migration successfully executed" id="Add column org_id in star" duration=650.806µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.335569767Z level=info msg="Executing migration" id="Add column updated in star"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.336559844Z level=info msg="Migration successfully executed" id="Add column updated in star" duration=983.616µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.337972286Z level=info msg="Executing migration" id="add index in star table on dashboard_uid, org_id and user_id columns"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.33845968Z level=info msg="Migration successfully executed" id="add index in star table on dashboard_uid, org_id and user_id columns" duration=492.36µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.339828443Z level=info msg="Executing migration" id="create org table v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.340282913Z level=info msg="Migration successfully executed" id="create org table v1" duration=453.941µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.341697278Z level=info msg="Executing migration" id="create index UQE_org_name - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.342149749Z level=info msg="Migration successfully executed" id="create index UQE_org_name - v1" duration=452.235µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.343527167Z level=info msg="Executing migration" id="create org_user table v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.343977972Z level=info msg="Migration successfully executed" id="create org_user table v1" duration=450.539µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.345435516Z level=info msg="Executing migration" id="create index IDX_org_user_org_id - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.345882798Z level=info msg="Migration successfully executed" id="create index IDX_org_user_org_id - v1" duration=447.004µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.347226726Z level=info msg="Executing migration" id="create index UQE_org_user_org_id_user_id - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.347697753Z level=info msg="Migration successfully executed" id="create index UQE_org_user_org_id_user_id - v1" duration=474.589µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.349090303Z level=info msg="Executing migration" id="create index IDX_org_user_user_id - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.34955286Z level=info msg="Migration successfully executed" id="create index IDX_org_user_user_id - v1" duration=462.192µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.350987246Z level=info msg="Executing migration" id="Update org table charset"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.351004454Z level=info msg="Migration successfully executed" id="Update org table charset" duration=17.638µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.352453742Z level=info msg="Executing migration" id="Update org_user table charset"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.352471351Z level=info msg="Migration successfully executed" id="Update org_user table charset" duration=18.193µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.353817231Z level=info msg="Executing migration" id="Migrate all Read Only Viewers to Viewers"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.353938767Z level=info msg="Migration successfully executed" id="Migrate all Read Only Viewers to Viewers" duration=121.556µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.355342651Z level=info msg="Executing migration" id="create dashboard table"
